manual_class,img,x1,y1,x2,y2,actual_id
204,81222,18,31,468,472,132.0
204,132010,26,66,468,285,132.0
204,132116,10,6,620,193,132.0
204,16901,6,3,396,288,132.0
204,16343,18,19,539,399,132.0
204,132282,40,25,454,364,132.0
204,81739,10,6,498,485,132.0
204,132260,9,6,573,395,132.0
204,77209,91,129,513,321,132.0
204,15804,1,3,567,423,132.0
204,16910,3,1,566,423,132.0
204,14629,9,37,546,420,132.0
204,16622,7,12,479,487,132.0
204,76726,6,12,396,604,132.0
204,78010,3,18,567,427,132.0
204,15803,0,7,430,564,132.0
204,16100,3,1,571,426,132.0
204,132907,4,9,622,297,132.0
204,77314,1,1,596,382,132.0
204,78739,14,10,492,272,132.0
204,132734,36,16,571,335,132.0
204,78450,7,7,567,429,132.0
204,132266,3,30,594,396,132.0
204,77204,68,27,360,324,132.0
204,132375,12,23,470,350,132.0
204,132868,29,1,471,329,132.0
204,132100,8,5,519,455,132.0
204,132284,26,1,482,207,132.0
204,16829,2,28,430,567,132.0
204,76614,5,5,399,584,132.0
204,76822,4,6,495,371,132.0
204,132246,15,8,495,243,132.0
204,15251,9,4,493,491,132.0
204,132621,32,6,470,309,132.0
204,78615,0,73,573,335,132.0
204,78315,5,8,601,391,132.0
204,77563,11,32,602,391,132.0
204,132785,7,42,554,432,132.0
204,16060,7,12,409,487,132.0
204,16839,1,2,431,492,132.0
204,14576,1,1,564,418,132.0
204,132559,3,10,591,394,132.0
204,78220,26,29,468,481,132.0
204,78376,3,3,493,367,132.0
204,132818,3,3,602,398,132.0
204,16438,2,9,428,567,132.0
204,16740,54,31,440,450,132.0
204,16320,13,4,422,550,132.0
204,15902,23,76,428,538,132.0
204,15317,28,33,484,454,132.0
204,16316,12,60,426,557,132.0
204,16073,14,10,484,483,132.0
204,16771,0,146,427,545,132.0
204,16047,9,3,558,428,132.0
204,77498,3,1,492,328,132.0
204,76803,10,3,620,348,132.0
204,16895,1,1,397,324,132.0
204,76834,36,40,339,566,132.0
204,15900,4,4,429,541,132.0
204,76738,10,7,467,430,132.0
204,16906,2,11,359,296,132.0
204,78254,21,10,579,398,132.0
204,16054,3,3,569,428,132.0
204,16540,1,0,427,564,132.0
204,132631,9,3,569,364,132.0
204,16912,7,3,571,427,132.0
204,132861,6,6,496,328,132.0
204,16890,58,16,340,275,132.0
204,132251,1,1,594,396,132.0
204,16916,18,7,548,420,132.0
204,78651,5,10,246,359,132.0
204,16008,2,2,424,560,132.0
204,77663,30,12,329,295,132.0
204,77001,3,3,559,418,132.0
204,16914,1,1,397,297,132.0
204,76656,3,3,571,431,132.0
204,15157,9,4,418,546,132.0
204,132553,12,9,406,320,132.0
204,77781,16,18,569,400,132.0
204,16805,9,3,558,428,132.0
204,16921,5,7,571,420,132.0
204,77960,9,28,571,400,132.0
204,132226,16,25,381,530,132.0
204,16917,14,8,555,411,132.0
205,305920,6,45,481,470,164.0
205,47855,38,29,337,318,164.0
205,47274,24,39,593,381,164.0
205,45049,14,22,488,470,164.0
205,47972,11,23,299,324,164.0
205,46996,61,79,460,408,164.0
205,170621,65,34,468,325,164.0
205,47400,29,67,539,402,164.0
205,170606,30,6,560,387,164.0
205,44014,72,52,543,365,164.0
205,134563,47,10,530,350,164.0
205,170746,18,85,476,416,164.0
205,44102,18,12,566,407,164.0
205,200609,16,94,390,556,164.0
205,47189,11,19,454,499,164.0
205,134628,22,15,582,387,164.0
205,47583,20,8,492,384,164.0
205,170640,45,13,572,374,164.0
205,47223,1,132,431,528,164.0
205,170598,17,35,489,361,164.0
205,47899,19,41,430,491,164.0
205,44407,14,21,497,456,164.0
205,47270,51,7,450,356,164.0
205,134545,23,30,557,396,164.0
205,47028,9,20,491,485,164.0
205,44260,38,6,583,399,164.0
205,134594,1,197,396,545,164.0
205,134450,41,6,377,247,164.0
205,43924,97,27,558,384,164.0
205,47012,36,32,524,422,164.0
205,170714,51,13,571,391,164.0
205,134604,12,5,495,295,164.0
205,305919,27,69,412,526,164.0
205,47688,6,96,427,512,164.0
205,47584,12,64,482,369,164.0
205,47844,98,25,501,387,164.0
205,43972,17,26,390,279,164.0
205,47184,17,106,375,499,164.0
205,134587,23,14,549,403,164.0
205,46965,12,8,470,326,164.0
205,47709,7,14,377,262,164.0
205,43982,30,6,641,378,164.0
205,44932,39,23,586,375,164.0
205,170589,21,5,544,414,164.0
205,44053,28,82,471,454,164.0
205,46921,27,52,514,398,164.0
205,47128,37,27,504,375,164.0
205,134475,30,65,249,315,164.0
205,47728,59,46,540,378,164.0
205,47854,32,24,531,397,164.0
205,134482,9,79,422,538,164.0
205,44209,22,11,589,389,164.0
205,134462,33,29,531,401,164.0
205,47477,17,35,370,317,164.0
205,200698,18,22,498,429,164.0
205,170582,17,20,537,376,164.0
205,47888,1,8,445,320,164.0
205,46988,19,18,550,421,164.0
205,170655,25,35,342,250,164.0
205,47198,39,8,487,326,164.0
205,170827,52,12,450,289,164.0
205,47175,11,52,514,335,164.0
205,43930,43,49,541,387,164.0
205,47007,32,50,544,400,164.0
205,47345,18,14,509,341,164.0
205,134567,20,20,432,314,164.0
205,134548,21,17,470,357,164.0
205,44183,5,16,577,369,164.0
205,47078,18,28,434,379,164.0
205,44961,53,59,460,367,164.0
205,47025,63,12,535,409,164.0
205,44019,24,22,585,406,164.0
205,48139,21,8,555,402,164.0
205,43977,38,20,578,364,164.0
205,44074,28,78,487,428,164.0
205,134540,12,40,437,328,164.0
205,134690,57,13,529,370,164.0
205,47665,16,21,451,414,164.0
205,200606,24,14,702,259,164.0
205,170554,7,12,564,423,164.0
205,45057,15,15,436,319,164.0
205,44401,3,41,310,330,164.0
205,134573,25,18,540,413,164.0
205,134512,4,5,485,303,164.0
205,134459,10,28,320,294,164.0
205,134670,72,28,542,393,164.0
205,47192,14,18,501,379,164.0
205,200537,38,161,419,455,164.0
205,47100,23,8,486,330,164.0
205,47017,18,19,564,420,164.0
206,145261,21,66,481,443,154.0
206,145736,4,18,496,487,154.0
206,106397,26,8,630,347,154.0
206,145212,34,50,487,475,154.0
206,66311,12,18,567,420,154.0
206,111115,93,60,493,456,154.0
206,40279,6,7,495,373,154.0
206,108576,18,30,537,414,154.0
206,105653,1,10,573,429,154.0
206,105282,23,21,426,564,154.0
206,36174,18,33,538,423,154.0
206,38283,51,45,454,431,154.0
206,106678,192,56,437,415,154.0
206,106878,23,9,531,407,154.0
206,110688,1,66,496,495,154.0
206,105400,14,22,484,479,154.0
206,111418,43,3,513,366,154.0
206,36221,23,18,548,396,154.0
206,107473,55,36,537,415,154.0
206,145617,7,12,484,485,154.0
206,104005,22,20,378,356,154.0
206,105855,5,15,591,397,154.0
206,144728,9,27,569,403,154.0
206,145754,31,27,468,466,154.0
206,144768,10,14,492,368,154.0
206,145344,9,25,478,493,154.0
