manual_class,img,x1,y1,x2,y2,actual_id
0,117522,28,28,542,380,173.0
0,170940,34,19,590,353,173.0
0,116632,36,153,558,369,173.0
0,117287,103,69,570,363,173.0
0,116702,52,66,530,420,173.0
0,118619,55,43,523,412,173.0
0,118833,29,35,470,485,173.0
0,169809,30,27,544,418,173.0
0,306021,10,18,489,483,173.0
0,170975,19,48,503,400,173.0
0,171550,25,28,448,314,173.0
0,171866,14,57,530,427,173.0
0,170610,9,21,558,418,173.0
0,171646,83,38,492,410,173.0
0,170265,77,18,522,398,173.0
0,170312,37,18,560,404,173.0
0,116681,20,35,456,477,173.0
0,171254,25,34,470,325,173.0
0,171081,52,32,549,384,173.0
0,117529,27,68,505,393,173.0
0,117648,137,36,479,373,173.0
0,171607,15,6,484,362,173.0
0,117200,5,206,422,478,173.0
0,117000,18,61,553,413,173.0
0,118922,14,68,487,458,173.0
0,116630,31,21,504,443,173.0
0,42716,70,70,537,386,173.0
0,117980,23,27,567,423,173.0
0,42718,37,23,567,366,173.0
0,171170,28,15,572,403,173.0
0,116593,21,35,475,339,173.0
0,116672,36,38,554,371,173.0
0,171407,50,41,446,397,173.0
0,118963,14,31,484,460,173.0
0,305998,123,41,496,305,173.0
0,117379,63,47,535,378,173.0
0,116840,17,11,596,403,173.0
0,117206,61,49,381,466,173.0
0,170583,122,79,608,374,173.0
0,118566,10,43,490,443,173.0
0,170761,17,40,556,345,173.0
0,116719,57,19,560,407,173.0
0,42753,25,19,546,404,173.0
0,171130,53,54,457,460,173.0
0,305984,21,20,482,391,173.0
0,117272,32,62,489,320,173.0
0,118913,14,27,482,456,173.0
0,169450,104,39,498,361,173.0
0,171758,41,57,485,411,173.0
0,171656,55,64,485,393,173.0
0,170223,12,86,417,498,173.0
0,117888,21,47,572,386,173.0
0,117795,41,30,531,396,173.0
0,171775,12,7,566,411,173.0
0,305986,28,18,553,410,173.0
0,118275,61,19,539,416,173.0
0,306014,3,47,495,475,173.0
0,171693,45,14,531,413,173.0
0,170487,36,61,573,411,173.0
0,172067,34,45,528,398,173.0
0,171390,19,34,512,377,173.0
0,170226,57,30,566,378,173.0
0,306001,12,55,416,572,173.0
0,116479,29,38,566,405,173.0
0,171798,23,23,555,407,173.0
0,117705,82,20,551,374,173.0
0,172093,34,43,457,359,173.0
0,169367,8,52,426,483,173.0
0,117115,32,23,512,396,173.0
0,117318,10,46,567,422,173.0
0,171332,62,18,429,317,173.0
0,117069,19,25,590,384,173.0
0,117416,21,19,557,418,173.0
0,116777,3,9,567,429,173.0
0,170693,81,45,499,357,173.0
0,306022,20,62,475,447,173.0
0,116959,88,99,456,393,173.0
0,118980,21,7,549,400,173.0
0,306031,18,105,419,497,173.0
0,116929,153,59,567,387,173.0
0,170848,56,26,548,347,173.0
